"State","Year","Population","Month","Births","BirthsPerThousandWomen"
"Tennessee",2022,1594897.41666578,"Aug",7545,4.73071178193594
"Texas",2022,7194684.99999501,"Aug",36498,5.07291146172839
"Utah",2022,843438.8750008,"Aug",4044,4.79465687421174
"Vermont",2022,137737.583333485,"Aug",474,3.44132653215186
"Virginia",2022,1955662.33333254,"Aug",8925,4.56367126772411
"Washington",2022,1774665.00000121,"Aug",7533,4.24474478281528
"West Virginia",2022,365912.208334922,"Aug",1571,4.29337957087798
"Wisconsin",2022,1266264.16666637,"Aug",5501,4.34427518744546
"Wyoming",2022,124185.958332794,"Aug",534,4.30000305323557
"Alabama",2022,1142091.5833307,"Sep",5053,4.42433870781525
"Alaska",2022,159682.666667978,"Sep",797,4.99114911236528
"Arizona",2022,1636240.83333209,"Sep",6847,4.18459181589824
"Arkansas",2022,677227.749999007,"Sep",3073,4.53761677663756
"California",2022,9066197.58332746,"Sep",35919,3.96185938701074
"Colorado",2022,1375239.41666506,"Sep",5219,3.79497557789321
"Connecticut",2022,806436.249998206,"Sep",2996,3.71511077286849
"Delaware",2022,216078.750001602,"Sep",889,4.11424075710086
"DC",2022,197760.333333337,"Sep",662,3.34748626704709
"Florida",2022,4685952.66666746,"Sep",18962,4.04656242793109
"Georgia",2022,2590546.16666454,"Sep",10565,4.0782905689741
"Hawaii",2022,295081.083331146,"Sep",1327,4.4970690259762
"Idaho",2022,438997.500001081,"Sep",1903,4.33487662229355
"Illinois",2022,2843139.50000099,"Sep",10823,3.80670733884012
"Indiana",2022,1530809.33333438,"Sep",6696,4.37415676413137
"Iowa",2022,694320.500000319,"Sep",3074,4.4273501934605
"Kansas",2022,646815.333332676,"Sep",3110,4.80817296642601
"Kentucky",2022,985486.66666623,"Sep",4535,4.60178727261861
"Louisiana",2022,1039969.91666794,"Sep",4926,4.73667547594348
"Maine",2022,283067.999999995,"Sep",1020,3.60337445419482
"Maryland",2022,1388483.99999894,"Sep",5679,4.09007233789107
"Massachusetts",2022,1610289.50000064,"Sep",5995,3.72293305023576
