"State","Year","Month","Population","BirthsPerThousandWomen","TreatedOriginal","Tau"
"Delaware",2022,7,215738.500001423,4.70476989500392,"Control",0.0973667541638852
"DC",2022,7,197367.999999977,3.47574074824734,"Control",-0.162549268658311
"Florida",2022,7,4675756.00000068,4.11142069859873,"Control",0.0176290248735462
"Georgia",2022,7,2587134.66666471,4.21470136073637,"Control",-0.0133922999016507
"Hawaii",2022,7,295405.499998054,4.53275243693439,"Control",0.0270350094787792
"Idaho",2022,7,437158.666667623,4.60244792888837,"Control",0.0351494033774813
"Illinois",2022,7,2847858.66666754,3.97316065310235,"Control",-0.0309552553759209
"Indiana",2022,7,1529997.6666676,4.44118324363185,"Control",-0.0804529624537276
"Iowa",2022,7,693934.666666946,4.63588310907084,"Control",-0.000300851494400511
"Kansas",2022,7,646643.999999415,4.48160038599696,"Control",-0.113266345497166
"Kentucky",2022,7,985668.666666273,4.5481815052135,"Control",-0.0340612968442375
"Louisiana",2022,7,1041354.83333448,4.7524626972278,"Control",0.0566067582996173
"Maine",2022,7,282626.999999994,3.75406454443497,"Control",-0.0173350171907551
"Maryland",2022,7,1389312.66666572,4.37626471411342,"Control",0.0141395665668034
"Massachusetts",2022,7,1610799.00000059,3.75403759252259,"Control",-0.00655662141576441
"Michigan",2022,7,2172943.00000082,4.15519413072345,"Control",-0.0231649349608105
"Minnesota",2022,7,1254934.33333362,4.51577413213816,"Control",0.00621710840142242
"Mississippi",2022,7,666636.166667047,4.54220780600453,"Control",-0.0118222152879106
"Missouri",2022,7,1366188.33333242,4.5059673324718,"Control",0.0315194537416996
"Montana",2022,7,238711.166668005,4.24781133682888,"Control",0.0588977515302487
"Nebraska",2022,7,433981.49999899,4.9610409660435,"Control",0.00291123446387598
"Nevada",2022,7,716772.833332816,4.06962968509377,"Control",0.0136595530915065
"New Hampshire",2022,7,290364.833333169,3.91920738794922,"Control",0.0685386683940412
"New Jersey",2022,7,2037802.49999959,4.47246482424171,"Control",0.0358841469231379
"New Mexico",2022,7,462364.500001114,4.38614988822696,"Control",0.116645327749145
"New York",2022,7,4446880.66666757,4.14897573894785,"Control",0.0143393494588624
"North Carolina",2022,7,2425701.16666685,4.37729104718623,"Control",0.00265303550233575
"North Dakota",2022,7,171208.666667566,4.76027303911241,"Control",-0.20830306882235
"Ohio",2022,7,2562917.83333225,4.36494680184691,"Control",-0.0313674043356551
"Oklahoma",2022,7,908441.166667742,4.70586335896815,"Control",0.0589575647389751
"Oregon",2022,7,960605.499999813,3.54568030268478,"Control",-0.0473285284317151
"Pennsylvania",2022,7,2807464.99999937,4.13647187053181,"Control",0.0228653866010831
"Rhode Island",2022,7,245775.000000523,3.79615501982714,"Control",0.0156472199874442
"South Carolina",2022,7,1161645.16666805,4.31457052791424,"Control",0.0138422519266097
"South Dakota",2022,7,190367.000002647,5.2950353789574,"Control",0.0649978592675593
"Tennessee",2022,7,1593750.3333325,4.46054808668509,"Control",0.00537823192638864
"Texas",2022,7,7185772.33332863,4.66004187812731,"Control",-0.0276832406806031
"Utah",2022,7,842131.833334081,4.84722206004132,"Control",-0.0436548489050459
"Vermont",2022,7,137688.333333474,3.42076912834193,"Control",-0.0219602216394428
"Virginia",2022,7,1955574.66666592,4.32558272726137,"Control",0.00593567196848888
"Washington",2022,7,1773892.6666678,4.17612640223362,"Control",0.0111502490312807
"West Virginia",2022,7,366074.500001493,4.08659985875525,"Control",-0.0118008106134626
"Wisconsin",2022,7,1266314.66666638,4.14904773537161,"Control",-0.0340058093778692
"Wyoming",2022,7,124113.166666157,4.51201121558926,"Control",0.0237626131059248
"Alabama",2022,8,1141731.20833082,4.81199073819843,"Control",0.0362692869244494
"Alaska",2022,8,159692.666667897,5.17243538626466,"Control",0.0444182390330932
"Arizona",2022,8,1634156.91666549,4.35331511157212,"Control",-0.0848056115684415
"Arkansas",2022,8,676865.624999059,4.8015438810392,"Control",-0.0378803883466734
"California",2022,8,9072220.54166115,4.17350965247447,"Control",-0.0222549805905494
"Colorado",2022,8,1374411.29166515,4.00316850812112,"Control",0.0113483803057997
"Connecticut",2022,8,805977.874998308,4.02368365261491,"Control",0.0359401101380081
"Delaware",2022,8,215908.625001513,4.67790483123555,"Control",-4.8460797983374e-05
"DC",2022,8,197564.166666657,3.86709803144146,"Control",0.0341933514534176
"Florida",2022,8,4680854.33333406,4.44897416518554,"Control",0.113702103097831
"Georgia",2022,8,2588840.41666462,4.57927028784323,"Control",0.0897989502455561
